id_game,matchweek,date,hometeam,awayteam,results,results_categoric,market_tracktake,odds,probas,bets,log_growth
2545,34,2021-05-02,tottenham,sheffield_united,0,away,0.009819967266775588,13.0,0.07556973228336382,2.3237007921044465e-18,0.11595730890731822
2546,34,2021-05-03,west_brom,wolves,0,home,0.018384131591678617,3.0,0.3484345797768071,0.014274410727963736,0.11595730890731822
2546,34,2021-05-03,west_brom,wolves,1,draw,0.018384131591678617,3.25,0.2862554389257422,2.041698211666175e-17,0.11595730890731822
2546,34,2021-05-03,west_brom,wolves,0,away,0.018384131591678617,2.65,0.3653099812974507,0.0,0.11595730890731822
2547,34,2021-05-03,burnley,west_ham,0,home,0.018488806884779718,3.21,0.2609438515928463,0.0,0.11595730890731822
2547,34,2021-05-03,burnley,west_ham,0,draw,0.018488806884779718,3.6,0.3198759592772273,0.051800829185752545,0.11595730890731822
2547,34,2021-05-03,burnley,west_ham,1,away,0.018488806884779718,2.33,0.4191801891299264,0.01919548308957695,0.11595730890731822
2548,34,2021-05-07,leicester,newcastle,0,home,0.015343535788298944,1.44,0.5136543865896407,3.940040902963194e-18,0.11595730890731822
2548,34,2021-05-07,leicester,newcastle,0,draw,0.015343535788298944,4.92,0.2717176597719957,0.10611258757251345,0.11595730890731822
2548,34,2021-05-07,leicester,newcastle,1,away,0.015343535788298944,8.5,0.2146279536383636,0.11695537861242739,0.11595730890731822
2549,34,2021-05-08,leeds,tottenham,1,home,0.02274602601863429,3.56,0.3230222935841005,0.05265864245929491,0.11595730890731822
2549,34,2021-05-08,leeds,tottenham,0,draw,0.02274602601863429,3.9,0.2614427263944882,0.02060609280010032,0.11595730890731822
2549,34,2021-05-08,leeds,tottenham,0,away,0.02274602601863429,2.06,0.4155349800214114,9.04215031035495e-18,0.11595730890731822
2550,34,2021-05-08,sheffield_united,crystal_palace,0,home,0.01694603170706266,3.02,0.3769197041573215,0.05156898163767018,0.11595730890731822
