result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
H,14,17,2014-12-20,southampton,everton,0,0,5,5,0.272354484579238,-3,-2.8099999999999987,0.4158415841584159,0.29207920792079206,0.29207920792079206
H,14,17,2014-12-20,tottenham,burnley,1,1,10,9,0.5608233365036871,8,-2.370000000000001,0.6805444355484388,0.20416333066453166,0.11529223378702963
H,14,17,2014-12-20,west_ham,leicester,0,1,16,18,0.8217563946497732,4,-1.8200000000000003,0.5797771182691089,0.24618676630019953,0.17403611543069167
D,14,17,2014-12-21,liverpool,arsenal,0,0,-5,-5,-0.9080824296743985,0,1.0899999999999999,0.34871492917390173,0.27294956851773367,0.37833550230836444
A,14,17,2014-12-21,newcastle,sunderland,0,0,7,7,0.23957750597861607,2,-3.1799999999999997,0.4469344878079837,0.3020946074998408,0.2509709046921755
A,14,17,2014-12-22,stoke,chelsea,-1,0,-11,-20,-0.86063494808079255,-6,0.9100000000000001,0.14997091171011442,0.24459096323794227,0.6054381250519434
H,14,18,2014-12-26,arsenal,queens_rangers,1,1,10,10,0.7987085594411747,4,-2.09,0.7668859839811406,0.15458489125919056,0.0785291247596688
A,14,18,2014-12-26,burnley,liverpool,-1,-1,-8,-7,-0.6157538770520412,-9,-0.4499999999999993,0.17444016026249354,0.24650108288982084,0.5790587568476856
H,14,18,2014-12-26,chelsea,west_ham,1,0,3,11,0.7435764587694725,6,0.4499999999999993,0.7380455666141681,0.1731217995761629,0.0888326338096691
A,14,18,2014-12-26,crystal_palace,southampton,0,0,-12,-14,-0.5640215284939384,-2,2,0.26022021149024316,0.2876921399760166,0.4520876485337404
A,14,18,2014-12-26,everton,stoke,0,0,2,2,-0.21911247357651997,2,0.7300000000000004,0.5206067986672189,0.26381153140010016,0.21558166993268094
A,14,18,2014-12-26,leicester,tottenham,-1,-1,-13,-17,-0.7375651993220472,-7,3.8200000000000003,0.2872737134720998,0.27215404434198925,0.4405722421859109
H,14,18,2014-12-26,man_united,newcastle,1,0,6,9,0.3475650427434236,4,1.1799999999999997,0.7134767836919593,0.18233295583238956,0.10419026047565119
A,14,18,2014-12-26,sunderland,hull,0,0,5,6,0.6700179053091959,3,1.8200000000000003,0.4882918508180196,0.29741412731643013,0.21429402186555008
H,14,18,2014-12-26,swansea,aston_villa,0,0,4,5,0.4647854274832885,-1,1.6400000000000006,0.5699569491534595,0.23968849695451114,0.1903545538920292
A,14,18,2014-12-26,west_brom,man_city,-1,0,-13,-22,-1.2125375692298284,-5,0.2699999999999996,0.15925508526243834,0.22761283647717412,0.6131320782603876
D,14,19,2014-12-28,aston_villa,sunderland,0,0,1,1,-0.34028466540392194,1,-3.09,0.44959754695285553,0.29973169796857035,0.25067075507857417
