result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
A,20,7,2020-10-31,burnley,chelsea,6.5,4.5,1.57,0.013011051227611592,-0.11684625797213744,-0.024259445688769254,0.04328890748982017
H,20,7,2020-10-31,liverpool,west_ham,1.43,5.32,8.03,0.011803625358059566,0.025746652288723304,-0.00649538429637575,-0.11824393561039259
A,20,7,2020-11-01,aston_villa,southampton,2.53,3.72,2.85,0.014951314279578742,0.06219912446147191,-0.0439486075269232,-0.02942185599188496
H,20,7,2020-11-01,newcastle,everton,3.82,3.56,2.1,0.018869457307012283,-0.12652519643730953,-0.037476370756197364,0.11372229272413326
A,20,7,2020-11-01,man_united,arsenal,2.05,3.78,3.73,0.02045165734435339,-0.014190330140067875,-0.033956617066511985,0.06482255171542728
H,20,7,2020-11-01,tottenham,brighton,1.65,4.26,5.54,0.021307805260619705,-0.02187472245907518,0.025957665796141116,0.04404351243675286
H,20,7,2020-11-02,fulham,west_brom,2.47,3.4,3.13,0.018464764545339074,0.0035019170615799844,-0.02406106253892537,0.01861443047296052
A,20,7,2020-11-02,leeds,leicester,2.63,3.65,2.79,0.01262367868995562,-0.06474780886534448,0.017405726185190984,0.06552925588215164
D,20,7,2020-11-06,brighton,burnley,1.93,3.51,4.63,0.019017721308481006,0.031706930850321946,-0.02505622589147538,-0.03830003412223215
H,20,7,2020-11-06,southampton,newcastle,2.08,3.62,3.8,0.020170219428724767,0.05884438325761843,-0.04039236305874094,-0.05423411738501338
A,20,8,2020-11-07,everton,man_united,2.98,3.65,2.44,0.019379138112154193,0.11864539062050716,0.009298022271646778,-0.08508761891036298
H,20,8,2020-11-07,crystal_palace,leeds,3,3.48,2.52,0.01751505199781045,-0.03230263842143266,0.027074329505041295,0.009127585852225506
H,20,8,2020-11-07,chelsea,sheffield_united,1.41,5.06,9,0.01795942776516335,-0.010920774456875226,0.023138853664167902,0.029339865255320285
