date,team_name,npxGD,xi,mean_value
2015-11-08,Arsenal,1.1118199999999998,wmean_inf,1.189131095090213
2015-11-08,Arsenal,1.1118199999999998,wmean_05,1.611497501677711
2015-11-08,Arsenal,1.1118199999999998,wmean_01,1.5753377063625105
2015-11-08,Arsenal,1.1118199999999998,wmean_005,1.3561090569899283
2015-11-08,Arsenal,1.1118199999999998,wmean_0,1.0001281126175794
2015-11-21,Arsenal,0.9955019999999999,wmean_inf,0.9996505459402427
2015-11-21,Arsenal,0.9955019999999999,wmean_05,1.2889966226134928
2015-11-21,Arsenal,0.9955019999999999,wmean_01,1.496887298280184
2015-11-21,Arsenal,0.9955019999999999,wmean_005,1.3297648885928461
2015-11-21,Arsenal,0.9955019999999999,wmean_0,1.0000374045267137
2015-11-29,Arsenal,0.6467399999999999,wmean_inf,0.6763689862067394
2015-11-29,Arsenal,0.6467399999999999,wmean_05,0.9800180550081082
2015-11-29,Arsenal,0.6467399999999999,wmean_01,1.3849211233794114
2015-11-29,Arsenal,0.6467399999999999,wmean_005,1.280725355560307
2015-11-29,Arsenal,0.6467399999999999,wmean_0,0.9932432236457831
2015-12-05,Arsenal,0.7727899999999999,wmean_inf,0.7581573600769363
2015-12-05,Arsenal,0.7727899999999999,wmean_05,0.8919898694080852
2015-12-05,Arsenal,0.7727899999999999,wmean_01,1.3081088776298284
2015-12-05,Arsenal,0.7727899999999999,wmean_005,1.2453137165177643
2015-12-05,Arsenal,0.7727899999999999,wmean_0,0.989083728844859
2015-12-13,Arsenal,-0.08494500000000005,wmean_inf,-0.004325502846055335
2015-12-13,Arsenal,-0.08494500000000005,wmean_05,0.4725980904579196
2015-12-13,Arsenal,-0.08494500000000005,wmean_01,1.1363080271075068
2015-12-13,Arsenal,-0.08494500000000005,wmean_005,1.153868627534047
2015-12-13,Arsenal,-0.08494500000000005,wmean_0,0.9691943078669704
2015-12-22,Arsenal,0.731712,wmean_inf,0.6814053907378559
2015-12-22,Arsenal,0.731712,wmean_05,0.5890655466500612
2015-12-22,Arsenal,0.731712,wmean_01,1.086543746843723
2015-12-22,Arsenal,0.731712,wmean_005,1.125035416700166
2015-12-22,Arsenal,0.731712,wmean_0,0.9648764477077544
2015-12-26,Arsenal,-1.59924,wmean_inf,-1.0444626197107958
2015-12-26,Arsenal,-1.59924,wmean_05,-0.2299515239556677
2015-12-26,Arsenal,-1.59924,wmean_01,0.7770749029092701
2015-12-26,Arsenal,-1.59924,wmean_005,0.9461472266365302
2015-12-26,Arsenal,-1.59924,wmean_0,0.9190886538276022
2015-12-28,Arsenal,2.785828,wmean_inf,1.1783704702627327
2015-12-28,Arsenal,2.785828,wmean_05,0.6794612527603225
2015-12-28,Arsenal,2.785828,wmean_01,0.9899965766934847
2015-12-28,Arsenal,2.785828,wmean_005,1.06103451238563
2015-12-28,Arsenal,2.785828,wmean_0,0.9518384670394875
2016-01-02,Arsenal,0.7768600000000001,wmean_inf,0.8877897147027157
2016-01-02,Arsenal,0.7768600000000001,wmean_05,0.708796082751895
2016-01-02,Arsenal,0.7768600000000001,wmean_01,0.9682120798446888
2016-01-02,Arsenal,0.7768600000000001,wmean_005,1.0437606427930735
2016-01-02,Arsenal,0.7768600000000001,wmean_0,0.9488215969069382
2016-01-14,Arsenal,1.0669,wmean_inf,1.0604905710989911
2016-01-14,Arsenal,1.0669,wmean_05,0.8574473222283778
2016-01-14,Arsenal,1.0669,wmean_01,0.9788896794834723
2016-01-14,Arsenal,1.0669,wmean_005,1.0451978907497277
2016-01-14,Arsenal,1.0669,wmean_0,0.9508229257805497
2016-01-17,Arsenal,0.03896199999999994,wmean_inf,0.34103098791195563
2016-01-17,Arsenal,0.03896199999999994,wmean_05,0.579463522083273
2016-01-17,Arsenal,0.03896199999999994,wmean_01,0.883511828044727
2016-01-17,Arsenal,0.03896199999999994,wmean_005,0.9851543685027664
2016-01-17,Arsenal,0.03896199999999994,wmean_0,0.9356252436266116
2016-01-24,Arsenal,-0.3787100000000001,wmean_inf,-0.27300893401802284
2016-01-24,Arsenal,-0.3787100000000001,wmean_05,0.2355201406804356
2016-01-24,Arsenal,-0.3787100000000001,wmean_01,0.7562328875240415
2016-01-24,Arsenal,-0.3787100000000001,wmean_005,0.9046482326326963
2016-01-24,Arsenal,-0.3787100000000001,wmean_0,0.91407876414046
2016-02-02,Arsenal,2.4508199999999998,wmean_inf,2.2542780329584367
2016-02-02,Arsenal,2.4508199999999998,wmean_05,1.1343076624571558
2016-02-02,Arsenal,2.4508199999999998,wmean_01,0.930564198694505
2016-02-02,Arsenal,2.4508199999999998,wmean_005,0.9962118111563304
2016-02-02,Arsenal,2.4508199999999998,wmean_0,0.9388649132023739
2016-02-07,Arsenal,0.555254,wmean_inf,0.882737906820938
2016-02-07,Arsenal,0.555254,wmean_05,0.9217741120757341
2016-02-07,Arsenal,0.555254,wmean_01,0.8932213629142727
2016-02-07,Arsenal,0.555254,wmean_005,0.9707138975342418
2016-02-07,Arsenal,0.555254,wmean_0,0.9327758510643073
2016-02-14,Arsenal,1.811896,wmean_inf,1.6905707601417383
2016-02-14,Arsenal,1.811896,wmean_05,1.257351325908496
2016-02-14,Arsenal,1.811896,wmean_01,0.9842335647700098
2016-02-14,Arsenal,1.811896,wmean_005,1.0189179442514433
2016-02-14,Arsenal,1.811896,wmean_0,0.9465121034455047
2016-02-28,Arsenal,0.44828,wmean_inf,0.46893321942827904
2016-02-28,Arsenal,0.44828,wmean_05,0.8478616292318207
2016-02-28,Arsenal,0.44828,wmean_01,0.9263817336464155
2016-02-28,Arsenal,0.44828,wmean_005,0.9849307978359354
2016-02-28,Arsenal,0.44828,wmean_0,0.9388469941305064
2016-03-02,Arsenal,-0.20508000000000015,wmean_inf,-0.008523118898065864
2016-03-02,Arsenal,-0.20508000000000015,wmean_05,0.44205785760138944
2016-03-02,Arsenal,-0.20508000000000015,wmean_01,0.8118102232484407
2016-03-02,Arsenal,-0.20508000000000015,wmean_005,0.9166722098535891
2016-03-02,Arsenal,-0.20508000000000015,wmean_0,0.9215147668764515
2016-03-05,Arsenal,-1.340623,wmean_inf,-0.8561900348338238
2016-03-05,Arsenal,-1.340623,wmean_05,-0.13407216800986702
2016-03-05,Arsenal,-1.340623,wmean_01,0.6060581534151728
2016-03-05,Arsenal,-1.340623,wmean_005,0.7917129790552195
2016-03-05,Arsenal,-1.340623,wmean_0,0.8877515164883162
2016-03-19,Arsenal,1.3376700000000001,wmean_inf,1.2881386463312812
2016-03-19,Arsenal,1.3376700000000001,wmean_05,0.5542029981066997
2016-03-19,Arsenal,1.3376700000000001,wmean_01,0.6825467093783159
2016-03-19,Arsenal,1.3376700000000001,wmean_005,0.8231889280479949
2016-03-19,Arsenal,1.3376700000000001,wmean_0,0.8943679648028637
2016-04-02,Arsenal,2.7168010000000002,wmean_inf,2.6956348398578855
2016-04-02,Arsenal,2.7168010000000002,wmean_05,1.76463146687539
2016-04-02,Arsenal,2.7168010000000002,wmean_01,0.9128966642661251
2016-04-02,Arsenal,2.7168010000000002,wmean_005,0.9366155683152875
2016-04-02,Arsenal,2.7168010000000002,wmean_0,0.9207800378905643
2016-04-09,Arsenal,0.35992999999999986,wmean_inf,0.6158684684161381
2016-04-09,Arsenal,0.35992999999999986,wmean_05,1.0904775503248834
2016-04-09,Arsenal,0.35992999999999986,wmean_01,0.851392726183494
2016-04-09,Arsenal,0.35992999999999986,wmean_005,0.9024525248812475
2016-04-09,Arsenal,0.35992999999999986,wmean_0,0.9127678944573011
2016-04-17,Arsenal,1.458804,wmean_inf,1.3816694087902872
2016-04-17,Arsenal,1.458804,wmean_05,1.2596926930125893
2016-04-17,Arsenal,1.458804,wmean_01,0.9187348762135308
2016-04-17,Arsenal,1.458804,wmean_005,0.9352894906474042
2016-04-17,Arsenal,1.458804,wmean_0,0.9204585438649667
2016-04-21,Arsenal,0.533738,wmean_inf,0.7439556553021217
2016-04-21,Arsenal,0.533738,wmean_05,0.9842635539206016
2016-04-21,Arsenal,0.533738,wmean_01,0.8782889813693344
2016-04-21,Arsenal,0.533738,wmean_005,0.9122985098882425
2016-04-21,Arsenal,0.533738,wmean_0,0.9150874251765779
2016-04-24,Arsenal,0.355881,wmean_inf,0.4916774417382067
2016-04-24,Arsenal,0.355881,wmean_05,0.7833314758970897
2016-04-24,Arsenal,0.355881,wmean_01,0.8266649933061959
2016-04-24,Arsenal,0.355881,wmean_005,0.881549273712493
2016-04-24,Arsenal,0.355881,wmean_0,0.9074270631543393
2016-04-30,Arsenal,0.202727,wmean_inf,0.26090586658247494
2016-04-30,Arsenal,0.202727,wmean_05,0.5921715085771587
2016-04-30,Arsenal,0.202727,wmean_01,0.7660191942504783
2016-04-30,Arsenal,0.202727,wmean_005,0.8445283870651572
2016-04-30,Arsenal,0.202727,wmean_0,0.8979040892860191
2016-05-08,Arsenal,0.32709,wmean_inf,0.32040804160285496
2016-05-08,Arsenal,0.32709,wmean_05,0.49454284078902694
2016-05-08,Arsenal,0.32709,wmean_01,0.7228902336294135
2016-05-08,Arsenal,0.32709,wmean_005,0.8162805242533263
2016-05-08,Arsenal,0.32709,wmean_0,0.8902932347282987
2016-05-15,Arsenal,3.179339,wmean_inf,2.8396168561220843
2016-05-15,Arsenal,3.179339,wmean_05,1.508878046269509
2016-05-15,Arsenal,3.179339,wmean_01,0.9635144548683859
2016-05-15,Arsenal,3.179339,wmean_005,0.9445373977767426
2016-05-15,Arsenal,3.179339,wmean_0,0.9204122580909463
2016-08-14,Arsenal,-1.238301,wmean_inf,-1.238300999994342
2016-08-14,Arsenal,-1.238301,wmean_05,-1.227412254249463
2016-08-14,Arsenal,-1.238301,wmean_01,0.381359648092699
2016-08-14,Arsenal,-1.238301,wmean_005,0.7389659044384985
2016-08-14,Arsenal,-1.238301,wmean_0,0.8923770208125248
2016-08-20,Arsenal,-0.03218399999999999,wmean_inf,-0.20201838428833407
2016-08-20,Arsenal,-0.03218399999999999,wmean_05,-0.5047970325937642
2016-08-20,Arsenal,-0.03218399999999999,wmean_01,0.2888753284210965
